"Day","Account","Campaign","Ad.group","Network","Ad.group.state","Impressions","CTR","Avg..CPC","Clicks","Cost","Avg..session.duration..seconds.","Bounce.rate","Click.Assisted.Conv.","Click.conversion.rate","Conversions","View.through.conv.","Search.Impr..share","Avg..position"
2015-03-31,"56 Italian","56 Italian Display","TOPICS","Display Network","enabled",420,"0.24%",2.01,1,2.01,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-30,"56 Italian","56 Italian Display","TOPICS","Display Network","enabled",164,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-04-02,"56 Italian","56 Italian Display","TOPICS","Display Network","enabled",313,"0.32%",1.95,1,1.95,0,"0.00%",0,"0.00%",0,0," --",1
2015-04-02,"56 Italian","56 Italian Display","INT","Display Network","enabled",6241,"0.50%",1.505161,31,46.66,0,"0.00%",0,"0.00%",0,0," --",1
2015-04-01,"56 Italian","56 Italian Display","INT","Display Network","enabled",10733,"0.54%",3.544483,58,205.58,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-28,"56 Italian","56 Italian Display","INT","Display Network","enabled",84,"1.19%",4.3,1,4.3,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-28,"56 Italian","56 Italian Display","TOPICS","Display Network","enabled",43,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-29,"56 Italian","56 Italian Display","TOPICS","Display Network","enabled",531,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-04-01,"56 Italian","56 Italian Display","TOPICS","Display Network","enabled",889,"0.22%",2.255,2,4.51,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-31,"56 Italian","56 Italian Display","INT","Display Network","enabled",4671,"0.54%",3.2068,25,80.17,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-29,"56 Italian","56 Italian Display","INT","Display Network","enabled",1651,"0.06%",2.18,1,2.18,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-29,"56 Italian","56 Italian","Ad Group #1","Search Network","enabled",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",2
2015-03-30,"56 Italian","56 Italian Display","INT","Display Network","enabled",675,"0.15%",2.82,1,2.82,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-31,"56 Italian","56 Italian","Ad Group #1","Search Network","enabled",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-04-01,"56 Italian","56 Italian","Ad Group #1","Search Network","enabled",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-04-02,"56 Italian","56 Italian","Ad Group #1","Search Network","enabled",4,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1.5
2015-03-31,"Almond","Almond Flower : Text","Ad Group #1","Search Network","enabled",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",2
2015-04-01,"Almond","Almond Flower : Text","Ad Group #1","Search Network","enabled",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",2
2015-03-30,"Almond","Almond Flower : Text","Ad Group #1","Search Network","enabled",9,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"90.00%",1.3
2015-03-28,"Almond","Almond Flower : Text","Ad Group #1","Search Network","enabled",0,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"< 10%",0
2015-04-02,"Almond","Almond Flower : Text","Ad Group #1","Search Network","enabled",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-29,"Almond","Almond Flower : Text","Ad Group #1","Search Network","enabled",3,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"75.00%",1
2015-04-02,"Art Chilli","AC Display","Topics","Display Network","enabled",28,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0," --",1
2015-03-17,"Art Chilli","Art Chilli Text","Phrase and Exact","Search Network","enabled",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",4.5
2015-03-12,"Art Chilli","Art Chilli Text","Phrase and Exact","Search Network","enabled",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-15,"Art Chilli","Art Chilli Text","Phrase and Exact","Search Network","enabled",3,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-13,"Art Chilli","Art Chilli Text","Phrase and Exact","Search Network","enabled",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",3
