"domain_name","cloud_site_id","cloud_site_name","campaign_id","campaign_name","campaign_subject","campaign_sent_date","city","total_emails_sent","total_emails_viewed","total_corresponding_orders"
"maalgaaditest.limetray.com","8","Maal Gaadi","132","10% discount - 12 April","","2014-04-17 12:00:10","","204","5","0"
"maalgaaditest.limetray.com","8","Maal Gaadi","23","10% discount - Feb21","","2014-03-27 20:30:53","","190","39","0"
"maalgaaditest.limetray.com","8","Maal Gaadi","56","10% discount - March 1","","2014-03-27 20:33:05","","194","33","0"
"maalgaaditest.limetray.com","8","Maal Gaadi","95","10% discount - March 27","","2014-04-12 12:49:22","","200","25","0"
"maalgaaditest.limetray.com","8","Maal Gaadi","70","10% discount - March 7","","2014-04-17 17:06:37","","196","110","0"
"maalgaaditest.limetray.com","8","Maal Gaadi","139","Free Gulab Jamun - April 17","","2014-05-02 18:26:59","","206","1","0"
"beta.limetray.com","16","LimeTray.com Beta","250","C-Test 1","Email Subject","2014-06-12 01:31:04","New Delhi","7","4","0"
"beta.limetray.com","16","LimeTray.com Beta","207","jbkbki","My Email Subject","2014-06-11 20:29:57","New Delhi","11","13","0"
"beta.limetray.com","16","LimeTray.com Beta","228","Jhjhjhih","Email Subject","2014-06-11 01:12:43","New Delhi","1","0","0"
"beta.limetray.com","16","LimeTray.com Beta","214","New Campaign - 285732","Email Subject","2014-05-28 19:34:30","New Delhi","11","4","0"
"beta.limetray.com","16","LimeTray.com Beta","213","New Campaign 2","Email Subject","2014-05-28 19:25:01","New Delhi","11","4","0"
"beta.limetray.com","16","LimeTray.com Beta","252","Test C-3","Email Subject","2014-06-12 01:42:23","New Delhi","7","3","0"
"beta.limetray.com","16","LimeTray.com Beta","253","Test C4 Campaign","Email Subject","2014-06-12 11:16:43","New Delhi","7","4","0"
"beta.limetray.com","16","LimeTray.com Beta","257","Test c5 Campaign","Email Subject","2014-06-12 11:20:44","New Delhi","7","3","0"
"beta.limetray.com","16","LimeTray.com Beta","258","Test c6 Campaign","Email Subject","2014-06-12 11:23:06","New Delhi","7","2","0"
"beta.limetray.com","16","LimeTray.com Beta","237","Test Campaign","Email Subject","2014-06-11 17:52:23","New Delhi","6","8","1"
"beta.limetray.com","16","LimeTray.com Beta","242","Test campaign 2","Email Subject","2014-06-11 19:24:48","New Delhi","6","4","0"
"beta.limetray.com","16","LimeTray.com Beta","259","Test campaign c7","Email Subject","2014-06-12 11:23:58","New Delhi","8","4","0"
"beta.limetray.com","16","LimeTray.com Beta","232","Test Mailer 11 June","Email Subject","2014-06-11 00:00:00","New Delhi","5","4","0"
"beta.limetray.com","16","LimeTray.com Beta","215","Tets campaing","Email Subject","2014-05-29 21:00:01","New Delhi","14","0","0"
"beta.limetray.com","16","LimeTray.com Beta","221","wFWSFSA","Email SubjectSDCASDV","2014-06-06 13:34:09","New Delhi","1","1","1"
"beta.limetray.com","16","LimeTray.com Beta","218","xyzs","Email Subject","2014-06-11 11:57:03","New Delhi","9","5","0"
"beta.limetray.com","16","LimeTray.com Beta","1794","test","My Email Subject","2014-11-27 16:09:43","New Delhi","6","1","0"
"beta.limetray.com","16","LimeTray.com Beta","578","test 2","My Email Subject","2014-08-01 14:00:01","New Delhi","23","2","1"
"beta.limetray.com","16","LimeTray.com Beta","1796","campaign name","My Email Subject","2014-11-27 16:45:16","New Delhi","6","1","0"
"beta.limetray.com","16","LimeTray.com Beta","1600","ds","My Email Subject","2014-11-21 18:00:01","New Delhi","32","10","0"
"beta.limetray.com","16","LimeTray.com Beta","1595","newydfwh","My Email Subject","2014-11-03 13:18:26","New Delhi","46","18","0"
"beta.limetray.com","16","LimeTray.com Beta","1564","ss","My Email Subject","2014-10-30 17:24:11","New Delhi","45","0","0"
"beta.limetray.com","16","LimeTray.com Beta","1572","sss","My Email Subject","2014-11-03 13:02:54","New Delhi","4","0","0"
"jiveshwar.limetray.com","17","Jiveshwar Restaurant","398","test - 27-Jun-2014 - 27-Jun-2014","My Email Subject","2014-07-10 15:08:19","New Delhi","3","1","0"
"jiveshwar.limetray.com","17","Jiveshwar Restaurant","430","TEst-4","My Email Subject","2014-07-10 15:05:21","New Delhi","8","1","0"
"jiveshwar.limetray.com","17","Jiveshwar Restaurant","1594","etugfhjgres","My Email Subject","2014-11-03 13:15:29","New Delhi","1","0","0"
"jiveshwar.limetray.com","17","Jiveshwar Restaurant","1593","jgerhjf","My Email Subject","2014-11-03 12:45:19","New Delhi","1","0","0"
"jiveshwar.limetray.com","17","Jiveshwar Restaurant","1592","resr311","My Email Subject","2014-11-03 12:39:32","New Delhi","1","0","0"
"jiveshwar.limetray.com","17","Jiveshwar Restaurant","1855","tesdgds","My Email Subject","2014-12-04 13:00:02","New Delhi","1","0","0"
"jiveshwar.limetray.com","17","Jiveshwar Restaurant","1591","test","My Email Subject","2014-11-03 12:38:14","New Delhi","1","0","0"
"jiveshwar.limetray.com","17","Jiveshwar Restaurant","1745","tester","My Email Subject","2014-11-20 19:05:45","New Delhi","1","1","0"
"jiveshwar.limetray.com","17","Jiveshwar Restaurant","1746","tester - 20-Nov-2014","My Email Subject","2014-11-20 19:07:09","New Delhi","1","1","0"
"jiveshwar.limetray.com","17","Jiveshwar Restaurant","1747","tester - 20-Nov-2014 - 20-Nov-2014","My Email Subject","2014-11-20 19:10:33","New Delhi","1","1","0"
"jiveshwar.limetray.com","17","Jiveshwar Restaurant","1748","tester - 2ddsfdgf","My Email Subject","2014-11-20 19:11:59","New Delhi","1","1","0"
"jiveshwar.limetray.com","17","Jiveshwar Restaurant","1749","tester - 2ddsfdgf - 20-Nov-2014","My Email Subject","2014-11-20 19:13:40","New Delhi","1","1","0"
"jiveshwar.limetray.com","17","Jiveshwar Restaurant","1751","tester - 2ddsfdgf - 20dsfsd","My Email Subject","2014-11-20 19:17:20","New Delhi","1","1","0"
"jiveshwar.limetray.com","17","Jiveshwar Restaurant","1571","testrghf","My Email Subject","2014-10-30 17:55:13","New Delhi","1","1","0"
"gravies.in","22","Gravies","98","sdfghj","","2014-03-28 14:26:40","New Delhi","3","0","0"
"gravies.in","22","Gravies","117","Three mashup offers - 3 april","","2014-04-19 19:53:07","New Delhi","2","0","0"
"gravies.in","22","Gravies","303","Gravies free kebab on chicken june 13","Free Kebabs on Butter Chicken/Kadhai Chicken/Mutton Roganjosh","2014-06-13 19:37:50","New Delhi","1544","219","2"
"gravies.in","22","Gravies","336","Biryani 1 + 1","Get 2 Hyderabadi Biryanis for the Price of 1","2014-06-20 18:35:30","New Delhi","1534","28","1"
"gravies.in","22","Gravies","391","Gravies July 4th","Biryani Bonanza Offer","2014-07-04 11:00:02","New Delhi","5","3","0"
"gravies.in","22","Gravies","555","gravies 30 july","Biryani Fever , Buy one get one","2014-08-01 11:00:07","New Delhi","9","5","0"
"biryaniblues.com","25","Biryani Blues","97","Biryani Blues - Free Dessert - March 28","","2014-04-19 15:20:55","Gurgaon","216","47","1"
"biryaniblues.com","25","Biryani Blues","84","Biryani Blues Anniversary - 20th March 2014","","2014-04-16 22:14:59","Gurgaon","203","93","2"
"biryaniblues.com","25","Biryani Blues","75","Biryani Blues Holi 14th March 2014","","2014-04-19 13:30:56","Gurgaon","49","31","0"
"biryaniblues.com","25","Biryani Blues","147","Free Dessert(online_orders) - April 19","","2014-05-06 17:36:23","Gurgaon","92","11","1"
"biryaniblues.com","25","Biryani Blues","102","LP","","2014-03-29 00:46:24","Gurgaon","221","5","0"
"biryaniblues.com","25","Biryani Blues","116","Without offer - 3 april","","2014-04-19 15:17:53","Gurgaon","229","56","2"
"biryaniblues.com","25","Biryani Blues","326","Biryani Blues Generic Biryani Offer ","Biryani Special Offer","2014-06-20 11:11:10","Gurgaon","340","155","3"
"biryaniblues.com","25","Biryani Blues","290","June 13 - No offer","Biryani Bonanza","2014-06-13 12:19:30","Gurgaon","336","181","8"
"biryaniblues.com","25","Biryani Blues","388","Biryani Blues Campaign June 26th","Weekend Biryani meal ","2014-06-27 11:00:09","Gurgaon","347","65","2"
"biryaniblues.com","25","Biryani Blues","436","asdasd","Haleem-e-khas","2014-07-11 11:00:22","Gurgaon","364","197","5"
"biryaniblues.com","25","Biryani Blues","616","Biryani 6th Aug","Special Biryanis this Rakshabandhan","2014-08-08 11:00:15","Gurgaon","415","120","5"
"biryaniblues.com","25","Biryani Blues","404","Biryani Blues 31 july ","Weekend cravings for biryani","2014-07-04 11:00:11","Gurgaon","351","125","6"
"biryaniblues.com","25","Biryani Blues","538","Biryani Blues July 25th","Weekend cravings for biryani","2014-07-25 11:00:20","Gurgaon","385","141","4"
"biryaniblues.com","25","Biryani Blues","564","biryani blues july31","Spend your weekend with Biryani Blues ","2014-08-01 11:39:18","Gurgaon","406","173","4"
"biryaniblues.com","25","Biryani Blues","641","biryani blues july31 - 14-Aug-2014","Spend your weekend with Biryani Blues ","2014-08-15 11:00:14","Gurgaon","436","121","4"
"biryaniblues.com","25","Biryani Blues","1085","12thsept","Sweet Delight - Free desserts on online orders","2014-09-12 11:00:01","Gurgaon","437","0","0"
"biryaniblues.com","25","Biryani Blues","1090","12thsept - 12-Sep-2014","Sweet Delight - Free desserts on online orders","2014-09-12 11:32:01","Gurgaon","438","151","7"
"biryaniblues.com","25","Biryani Blues","1114","16thSeptember","Biryani Specials - Because Life Needs a Little Masala","2014-09-16 11:00:01","Gurgaon","447","78","1"
"biryaniblues.com","25","Biryani Blues","1160","20Sept","My Email Subject","2014-09-20 11:00:02","Gurgaon","449","123","5"
"biryaniblues.com","25","Biryani Blues","1213","26thSept","Biryani Feast - Because Life Needs A Little Masala","2014-09-26 11:00:01","Gurgaon","470","130","8"
"biryaniblues.com","25","Biryani Blues","985","28aug_BIryaniGeneric","Biryani Feast","2014-08-29 11:00:01","Gurgaon","430","174","9"
"biryaniblues.com","25","Biryani Blues","875","biryani blues aug 22","Complimentary Desserts","2014-08-22 11:12:22","Gurgaon","441","186","6"
"biryaniblues.com","25","Biryani Blues","1350","October9th","Making every Biryani better than the last","2014-10-10 11:00:01","Gurgaon","1022","187","11"
"biryaniblues.com","25","Biryani Blues","1649","19 nov mailer","More than just Biryani","2014-11-19 12:09:47","Gurgaon","686","162","12"
"biryaniblues.com","25","Biryani Blues","2266","9 DEC","Start the Weekend Early ! Biryani Now A Click Away ","2015-01-09 11:23:04","Gurgaon","1026","136","29"
"biryaniblues.com","25","Biryani Blues","2298","bb - 16-Jan-2015","Craving good food? Take a look inside.","2015-01-16 12:08:49","Gurgaon","317","30","1"
"biryaniblues.com","25","Biryani Blues","4241","bb - 16-Jan-2015 - 26-Feb-2015","Craving good food? Take a look inside.","2015-02-27 10:55:28","Gurgaon","1359","203","21"
"biryaniblues.com","25","Biryani Blues","4252","bb - 4/3/2015","Make your Holi more colorful this year!","2015-03-04 10:57:58","Gurgaon","1410","186","19"
